Item_UPC,Item_Description,Item_Max_Qty,Item_Order_Threshold,Item_Replenishment_Order_Qty,Item_On_Hand,Item_Unit_Price
23371,SET 36 COLOUR PENCILS SPACEBOY ,8,3,7,3,0.79
23370,SET 36 COLOURING PENCILS DOILY,7,3,6,2,0.79
23305,SET 4 PICNIC CUTLERY BLUEBERRY,15,5,13,10,0.83
23304,SET 4 PICNIC CUTLERY CHERRY ,10,3,9,5,0.83
23303,SET 4 PICNIC CUTLERY FONDANT,12,4,11,7,0.83
23083,SET 6 PAPER TABLE LANTERN STARS ,6,2,6,1,16.63
22752,SET 7 BABUSHKA NESTING BOXES,15,5,13,10,2.46
23108,SET OF 10 LED DOLLY LIGHTS,11,4,10,6,8.5
23189,SET OF 12 FORK CANDLES,15,5,13,10,2.08
21614,SET OF 12 ROSE BOTANICAL T-LIGHTS,8,3,7,3,3.29
23359,SET OF 12 T-LIGHTS VINTAGE DOILEY,10,3,9,5,0.79
22495,SET OF 2 ROUND TINS CAMEMBERT ,9,3,8,4,1.25
22895,SET OF 2 TEA TOWELS APPLE AND PEARS,10,3,9,5,2.95
23407,SET OF 2 TRAYS HOME SWEET HOME,17,6,15,12,1.25
22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,21,7,19,16,2.95
35004B,SET OF 3 BLACK FLYING DUCKS,5,2,4,0,14.95
85008,SET OF 3 CONEY ISLAND OVAL BOXES,7,3,6,2,29.79
35004G,SET OF 3 GOLD FLYING DUCKS,6,2,6,1,29.17
22759,SET OF 3 NOTEBOOKS IN PARCEL,6,2,6,1,0.39
21973,SET OF 36 MUSHROOM PAPER DOILIES,5,2,4,0,0.85
23306,SET OF 36 PANTRY PAPER DOILIES,11,4,10,6,0.79
22950,SET OF 36 VINTAGE CHRISTMAS DOILIES,13,4,12,8,12.75
84510E,SET OF 4 GREEN CAROUSEL COASTERS,8,3,7,3,14.95
23237,SET OF 4 KNICK KNACK TINS LEAF,17,6,15,12,0.83
23237,SET OF 4 KNICK KNACK TINS LEAVES ,14,5,12,9,0.83
23238,SET OF 4 KNICK KNACK TINS LONDON ,9,3,8,4,0.83
22642,SET OF 4 NAPKIN CHARMS STARS   ,5,2,4,0,1.25
84951A,SET OF 4 PISTACHIO LOVEBIRD COASTER,37,12,33,32,12.75
84510C,SET OF 4 POLKADOT COASTERS,5,2,4,0,14.95
84509c,SET OF 4 POLKADOT PLACEMATS ,6,2,6,1,29.13
23156,SET OF 5 MINI GROCERY MAGNETS,29,9,26,24,2.1
85227,SET OF 6 3D KIT CARDS FOR KIDS,41,13,37,36,12.75
21948,SET OF 6 CAKE CHOPSTICKS,8,3,7,3,0.85
21947,SET OF 6 HEART CHOPSTICKS,7,3,6,2,0.85
22723,SET OF 6 HERB TINS SKETCHBOOK,10,3,9,5,1.25
84715,SET OF 6 ICE CREAM SKITTLES,6,2,6,1,14.13
23560,SET OF 6 RIBBONS COUNTRY STYLE,7,3,6,2,4.21
23562,SET OF 6 RIBBONS PERFECTLY PRETTY  ,6,2,6,1,5.06
22619,SET OF 6 SOLDIER SKITTLES,13,4,12,8,1.25
21949,SET OF 6 STRAWBERRY CHOPSTICKS,11,4,10,6,0.85
22806,SET OF 6 T-LIGHTS WEDDING CAKE ,5,2,4,0,8.95
85016,SET OF 6 VINTAGE NOTELETS KIT,9,3,8,4,14.13
23309,SET OF 60 I LOVE LONDON CAKE CASES ,6,2,6,1,4.13
72598,SET/12 TAPER CANDLES,6,2,6,1,29.79
21035,SET/2 RED RETROSPOT TEA TOWELS ,6,2,6,1,16.98
72816,SET/3 CHRISTMAS DECOUPAGE CANDLES,9,3,8,4,14.95
72807C,SET/3 VANILLA SCENTED CANDLE IN BOX,11,4,10,6,14.95
21220,SET/4 BADGES DOGS,125,38,112,120,0.85
21311,SET/4 BIRD MIRROR MAGNETS ,8,3,7,3,1.65
85039A,SET/4 RED MINI ROSE CANDLE IN BOWL,7,3,6,2,29.13
21224,SET/4 SKULL BADGES,5,2,4,0,0.85
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,29,9,26,24,14.95
85170B,SET/6 BLACK BIRD T-LIGHT CANDLES,10,3,9,5,14.95
72349b,SET/6 PURPLE BUTTERFLY T-LIGHTS,41,13,37,36,9.98
20878,SET/9 CHRISTMAS T-LIGHTS SCENTED ,5,2,4,0,3.25
85176,SEWING SUSAN 21 NEEDLE SET,7,3,6,2,14.95
21690,SILVER  CANDLEPOT JARDIN ,15,5,13,10,0.65
90189A,SILVER 2 STRAND NECKLACE-LEAF CHARM,6,2,6,1,14.95
90145,SILVER HOOP EARRINGS WITH FLOWER,6,2,6,1,29.79
20820,SILVER LOOKING MIRROR,7,3,6,2,29.79
20830,SILVER PHOTO FRAME,605,182,544,600,2.32
84766,SILVER ROCOCO CANDLE STICK,17,6,15,12,12.75
20819,SILVER TEDDY BEAR,7,3,6,2,5.79
90190C,SILVER/AMETHYST DROP EARRINGS LEAF,5,2,4,0,14.95
23471,SIX DRAWER OFFICE TIDY,9,3,8,4,3.29
21934,SKULL SHOULDER BAG,7,3,6,2,0.29
22100,SKULLS SQUARE TISSUE BOX,6,2,6,1,0.85
21427,SKULLS STORAGE BOX SMALL,7,3,6,2,1.25
21882,SKULLS TAPE,11,4,10,6,1.25
16237,SLEEPING CAT ERASERS,8,3,7,3,4.15
23019,SMALL APOTHECARY MEASURING JAR ,6,2,6,1,8.5
23022,SMALL BONNE JAM JAR  T-LIGHT HOLDER,6,2,6,1,16.98
23167,SMALL CERAMIC TOP STORAGE JAR ,7,3,6,2,4.13
16008,SMALL FOLDING SCISSOR(POINTED EDGE),9,3,8,4,1.25
84971S,SMALL HEART FLOWERS HOOK ,5,2,4,0,14.95
23132,SMALL IVORY HEART WALL ORGANISER,209,63,188,204,5.88
84596F,SMALL MARSHMALLOWS PINK BOWL,13,4,12,8,14.95
23455,SMALL PARLOUR FRAME,9,3,8,4,14.95
20803,SMALL PINK GLASS SUNDAE DISH,205,62,184,200,2.55
47310M,SMALL POP BOX FUNKY MONKEY,6,2,6,1,12.75
47310M,SMALL POP BOX,FUNKY MONKEY,21,7,19,16,12.75
22754,SMALL RED BABUSHKA NOTEBOOK ,6,2,6,1,1.65
21746,SMALL RED RETROSPOT WINDMILL,19,6,17,14,1.25
21747,SMALL SKULL WINDMILL,6,2,6,1,1.28
85127,SMALL SQUARE CUT GLASS CANDLESTICK,6,2,6,1,29.95
22753,SMALL YELLOW BABUSHKA NOTEBOOK ,26,8,24,21,2.46
21843,smashed,33,10,30,28,14.95
79051A,SMOKEY GREY COLOUR GLASS,6,2,6,1,29.13
23580,SNACK TRAY HAPPY FOREST  ,6,2,6,1,4.96
23576,SNACK TRAY RED VINTAGE DOILY,8,3,7,3,5.06
22863,SOAP DISH BROCANTE,16,5,15,11,1.25
21391,Sold as 1 on dotcom,10,3,9,5,12.75
37479B,sold as set by dotcom,17,6,15,12,12.75
21136,sold as set on dotcom,5,2,4,0,12.75
22915,sold as set on dotcom,41,13,37,36,9.98
22988,SOLDIERS EGG CUP ,17,6,15,12,1.65
21030,SPACE CADET RED,8,3,7,3,4.95
21026,SPACE OWL,7,3,6,2,4.95
23346,SPACEBOY BEAKER,8,3,7,3,0.83
22029,SPACEBOY BIRTHDAY CARD,16,5,15,11,0.85
22975,SPACEBOY CHILDRENS EGG CUP,5,2,4,0,1.95
23389,SPACEBOY MINI BACKPACK,6,2,6,1,8.47
23392,SPACEBOY ROCKET LOLLY MAKERS,29,9,26,24,1.25
10124A,SPOTS ON RED BOOKCOVER TAPE,14,5,12,9,12.75
84665,SQUARE CHERRY BLOSSOM CABINET,10,3,9,5,14.13
22785,SQUARECUSHION COVER PINK UNION FLAG,17,6,15,12,8.15
22785,SQUARECUSHION COVER PINK UNION JACK,15,5,13,10,8.95
79161A,ST GEORGE SET OF 10 PARTY LIGHTS,9,3,8,4,32.95
90158,ST TROPEZ NECKLACE,101,31,91,96,12.75
22338,STAR DECORATION PAINTED ZINC ,11,4,10,6,1.25
22155,STAR DECORATION RUSTIC,6,2,6,1,2.51
21743,STAR PORTABLE TABLE LIGHT ,126,38,114,121,1.5
23213,STAR WREATH DECORATION WITH BELL,8,3,7,3,0.83
23427,STOOL HOME SWEET HOME ,8,3,7,3,3.29
21937,STRAWBERRY   PICNIC BAG,21,7,19,16,0.29
21232,STRAWBERRY CERAMIC TRINKET BOX,7,3,6,2,0.65
20723,STRAWBERRY CHARLOTTE BAG,45,14,40,40,1.25
22649,STRAWBERRY FAIRY CAKE TEAPOT,9,3,8,4,1.25
21206,STRAWBERRY HONEYCOMB  GARLAND ,20,6,18,15,0.85
22164,STRING OF STARS CARD HOLDER,14,5,12,9,1.25
21935,SUKI  SHOULDER BAG,65,20,58,60,0.29
51020A,SUMMER FUN DESIGN SHOWER CAP,5,2,4,0,35.95
22776,SWEETHEART CAKESTAND 3 TIER,8,3,7,3,8.95
21231,SWEETHEART CERAMIC TRINKET BOX,11,4,10,6,0.65
21473,SWEETHEART CREAM STEEL TABLE RECT,11,4,10,6,1.25
22794,SWEETHEART WIRE MAGAZINE RACK,5,2,4,0,7.95
22035,taig adjust,6,2,6,1,4.21
21033,taig adjust no stock,9,3,8,4,2.1
22891,TEA FOR ONE POLKADOT,11,4,10,6,2.95
22046,TEA PARTY  WRAPPING PAPER ,12,4,11,7,1.63
22027,TEA PARTY BIRTHDAY CARD,15,5,13,10,0.85
47567B,TEA TIME KITCHEN APRON,6,2,6,1,32.95
47559B,TEA TIME OVEN GLOVE,7,3,6,2,35.95
37500,TEA TIME TEAPOT IN GIFT BOX,7,3,6,2,14.95
84872a,TEATIME FUNKY FLOWER BACKPACK FOR 2,6,2,6,1,2.1
16046,TEATIME PEN CASE & PENS,10,3,9,5,1.25
23084,temp adjustment,17,6,15,12,2.1
22355,test,8,3,7,3,2.1
72140F,throw away,6,2,6,1,4.13
35610A,thrown away,12,4,11,7,4.95
84612B,thrown away,29,9,26,24,2.1
90037B,TINY CRYSTAL BRACELET GREEN,5,2,4,0,2.1
90037A,TINY CRYSTAL BRACELET RED,53,16,48,48,1.85
22789,T-LIGHT HOLDER SWEETHEART HANGING,13,4,12,8,8.95
22216,T-LIGHT HOLDER WHITE LACE,13,4,12,8,16.63
21354,TOAST ITS - BEST MUM,13,4,12,8,10.95
82581,TOILET METAL SIGN,7,3,6,2,29.17
84519A,TOMATO CHARLIE+LOLA COASTER SET,7,3,6,2,4.13
85049A,TRADITIONAL CHRISTMAS RIBBONS,11,4,10,6,2.1
23569,TRADTIONAL ALPHABET STAMP SET,8,3,7,3,1.95
23004,TRAVEL CARD WALLET PANTRY,7,3,6,2,8.5
22995,TRAVEL CARD WALLET SUKI,10,3,9,5,1.95
23000,TRAVEL CARD WALLET TRANSPORT,5,2,4,0,1.95
22999,TRAVEL CARD WALLET VINTAGE LEAF,7,3,6,2,4.13
23003,TRAVEL CARD WALLET VINTAGE ROSE ,5,2,4,0,1.95
22996,TRAVEL CARD WALLET VINTAGE TICKET,101,31,91,96,1.65
23523,TREASURE AHOY WALL ART,8,3,7,3,1.25
23177,TREASURE ISLAND BOOK BOX,8,3,7,3,1.25
20664,TROPICAL HOLIDAY PURSE ,6,2,6,1,8.47
20619,TROPICAL PASSPORT COVER ,9,3,8,4,14.95
90125C,TURQUOISE BERTIE GLASS BEAD CHARM,9,3,8,4,4.25
35591T,TURQUOISE CHRISTMAS TREE ,9,3,8,4,9.98
90122C,TURQUOISE CRYSTAL+GLASS BRACELET,6,2,6,1,8.47
21735,TWO DOOR CURIO CABINET,10,3,9,5,1.25
21922,UNION STRIPE WITH FRINGE  HAMMOCK,15,5,13,10,0.29
22830,UTILTY CABINET WITH HOOKS,9,3,8,4,4.25
17090D,VANILLA INCENSE 40 CONES IN TIN,5,2,4,0,12.75
72802C,VANILLA SCENT CANDLE JEWELLED BOX,7,3,6,2,2.1
21259,VICTORIAN SEWING BOX SMALL ,9,3,8,4,0.65
23188,VINTAGE  2 METER FOLDING RULER,17,6,15,12,2.08
35651,VINTAGE BEAD PINK SCARF ,17,6,15,12,1.65
21069,VINTAGE BILLBOARD TEA MUG,757,228,681,752,0
22035,VINTAGE CARAVAN GREETING CARD ,11,4,10,6,1.63
23313,VINTAGE CHRISTMAS BUNTING,7,3,6,2,0.83
23373,VINTAGE CHRISTMAS PAPER GIFT BAG,6,2,6,1,4.25
23311,VINTAGE CHRISTMAS STOCKING ,17,6,15,12,2.08
23314,VINTAGE CHRISTMAS TABLECLOTH,6,2,6,1,0.83
72760B,VINTAGE CREAM 3 BASKET CAKE STAND,11,4,10,6,2.1
23229,VINTAGE DONKEY TAIL GAME ,35,11,31,30,0.79
23061,VINTAGE ENGRAVED HEART,5,2,4,0,8.5
21791,VINTAGE HEADS AND TAILS CARD GAME ,7,3,6,2,1.28
20901,VINTAGE KEEPSAKE BOX PINK FLOWER,17,6,15,12,14.95
21279,VINTAGE KITCHEN PRINT FRUITS,53,16,48,48,0.65
21280,VINTAGE KITCHEN PRINT VEGETABLES,7,3,6,2,1.65
20897,VINTAGE NOTEBOOK PARIS DAYS,8,3,7,3,16.95
20898,VINTAGE NOTEBOOK TRAVELOGUE,7,3,6,2,16.95
22655,VINTAGE RED KITCHEN CABINET,101,31,91,96,1.06
21913,VINTAGE SEASIDE JIGSAW PUZZLES,10,3,9,5,0.85
21758,VINTAGE SHELLS PRINT,11,4,10,6,0.65
21790,VINTAGE SNAP CARDS,10,3,9,5,0.65
22611,VINTAGE UNION JACK SHOPPING BAG,14,5,12,9,1.25
82001S,VINYL RECORD FRAME SILVER,10,3,9,5,2.1
84927A,WAKE UP COCKEREL TILE HOOK,9,3,8,4,3.36
23527,WALL ART ANIMALS AND NATURE ,10,3,9,5,1.25
23535,WALL ART BICYCLE SAFTEY ,12,4,11,7,3.36
23531,WALL ART BIG LOVE ,11,4,10,6,1.25
23521,WALL ART CAT AND BIRD ,11,4,10,6,4.25
23541,WALL ART CLASSIC PUDDINGS ,11,4,10,6,1.95
23529,WALL ART DOLLY GIRL ,9,3,8,4,1.25
23524,WALL ART HORSE & PONY ,11,4,10,6,3.81
23543,WALL ART KEEP CALM ,6,2,6,1,1.95
23544,WALL ART MID CENTURY MODERN ,7,3,6,2,1.95
23534,WALL ART STOP FOR TEA ,17,6,15,12,4.25
23523,WALL ART TREASURE AHOY ,7,3,6,2,1.25
23532,WALL ART WORK REST AND PLAY  ,5,2,4,0,1.25
22166,WALL MIRROR RECTANGLE DIAMANTE PINK,65,20,58,60,1.25
22120,WELCOME  WOODEN BLOCK LETTERS,53,16,48,48,0.85
21187,WHITE BELL HONEYCOMB PAPER GARLAND ,12,4,11,7,2.51
35598C,WHITE CHRISTMAS TREE 60CM,11,4,10,6,14.95
90101,WHITE FRANGIPANI NECKLACE,6,2,6,1,29.17
21262,WHITE GOOSE FEATHER CHRISTMAS TREE ,45,14,40,40,0.65
21264,WHITE GOOSE FEATHER TREE 60CM ,6,2,6,1,0.63
85123A,WHITE HANGING HEART T-LIGHT HOLDER,11,4,10,6,2.55
21189,WHITE HONEYCOMB PAPER GARLAND ,5,2,4,0,0.85
22224,WHITE LOVEBIRD LANTERN,6,2,6,1,15.95
21673,WHITE SPOT BLUE CERAMIC DRAWER KNOB,5,2,4,0,0.65
21672,WHITE SPOT RED CERAMIC DRAWER KNOB,10,3,9,5,0.65
35912B,WHITE/PINK CHICK DECORATION,7,3,6,2,29.17
22696,WICKER WREATH LARGE,8,3,7,3,1.25
84388,WISE MAN STAR SHAPE EGG PAN,7,3,6,2,14.13
22210,WOOD STAMP SET BEST WISHES,65,20,58,60,6.95
22947,WOODEN ADVENT CALENDAR RED,5,2,4,0,2.95
22605,WOODEN CROQUET GARDEN SET,10,3,9,5,1.25
82494L,WOODEN FRAME ANTIQUE WHITE ,5,2,4,0,2.1
22779,WOODEN OWLS LIGHT GARLAND ,7,3,6,2,16.63
23559,WOODLAND BUNNIES LOLLY MAKERS,11,4,10,6,5.06
22331,WOODLAND PARTY BAG + STICKER SET,30,9,27,25,2.46
23231,WRAP  VINTAGE DOILY ,8,3,7,3,0.79
23230,WRAP ALPHABET DESIGN,18,6,16,13,0.83
23549,WRAP BIRD GARDEN ,9,3,8,4,1.95
16156L,WRAP CAROUSEL,8,3,7,3,14.95
16169M,WRAP DAISY CARPET ,13,4,12,8,12.75
23231,WRAP DOILEY DESIGN,5,2,4,0,0.79
16169K,WRAP FOLK ART,5,2,4,0,14.95
16169P,WRAP GREEN RUSSIAN FOLKART ,53,16,48,48,12.75
23548,WRAP MAGIC FOREST ,6,2,6,1,4.21
23546,WRAP PAISLEY PARK ,10,3,9,5,5.06
16161U,WRAP SUKI AND FRIENDS,25,8,22,20,14.95
23232,WRAP VINTAGE PETALS  DESIGN,25,8,22,20,2.08
20713,wrongly marked. 23343 in box,8,3,7,3,3.29
22804,Wrongly mrked had 85123a in box,6,2,6,1,3.29
22467,wrongly sold (22719) barcode,7,3,6,2,3.29
85175,wrongly sold sets,6,2,6,1,4.25
22912,YELLOW COAT RACK PARIS FASHION,6,2,6,1,2.94
84898F,YELLOW FLOWERS FELT HANDBAG KIT,6,2,6,1,3.36
84086B,YELLOW/BLUE RETRO RADIO,149,45,134,144,1.85
37487B,YELLOW/ORANGE FLOWER DESIGN PLATE,6,2,6,1,8.29
37491A,YELLOW/PINK CERAMIC CANDLE HOLDER,6,2,6,1,35.95
23414,ZINC BOX SIGN HOME,8,3,7,3,3.36
23088,ZINC HEART FLOWER T-LIGHT HOLDER,8,3,7,3,8.5
20845,ZINC HEART LATTICE 2 WALL PLANTER,14,5,12,9,3.25
23106,ZINC HEARTS PLANT POT HOLDER,7,3,6,2,16.63
23106,ZINC PLANT POT HOLDER,8,3,7,3,4.25
23151,ZINC SWEETHEART SOAP DISH,9,3,8,4,4.21
23145,ZINC T-LIGHT HOLDER STAR LARGE,11,4,10,6,2.1
23145,ZINC T-LIGHT HOLDER STARS LARGE,6,2,6,1,2.1
23144,ZINC T-LIGHT HOLDER STARS SMALL,53,16,48,48,5.88
23143,ZINC WIRE KITCHEN ORGANISER,30,9,27,25,5.88
12345,1 dozen Eggs,25,8,22,20,2.99
12346,1/2 dozen Eggs,25,8,22,20,1.99
12347,Banana ,105,32,94,100,0.39
